Feature 1,Feature 2,Feature 3,Feature 4,Label
-8.612444699,-9.729022255,-30.05076493,90.48236651,1
0.902390336,-0.31683325,0.699654023,0.337164241,0
-25.3075024,-20.66948603,-62.60575595,250.6314831,1
-21.84493674,-4.288478165,-14.84892673,235.1774792,0
26.18570712,-24.20799931,-76.01854726,-267.1348884,1
1.455471819,1.453603945,1.447083164,-0.262329188,0
-1.732870863,-2.405578661,-9.509718807,30.24686094,0
18.82605243,-3.268000269,-11.16289276,-165.0381688,1
0.475492059,-0.996477648,-3.936492152,-13.63816757,0
2.474553835,27.8451886,82.56298972,-20.98971944,1
-2.118863644,5.820089599,16.69379935,24.22772498,0
1.497568754,-1.380423074,-8.983937353,-4.221227169,0
-22.16963625,8.42654582,24.60951713,226.7678573,0
-1.377604309,-20.44392616,-66.19346002,17.6192137,0
14.2396352,-33.96206593,-103.6775498,-141.0218266,1
-21.82193968,-2.55941791,-9.067584729,237.8264435,0
-19.82387194,-14.11956763,-39.82645069,194.4594008,0
-3.27251782,-3.250911313,-8.403029438,39.7238438,0
2.473765785,-3.112504484,-7.064032569,-10.34413452,0
0.904677224,-19.98697795,-57.37465643,-5.633104384,1
14.62188363,4.686648602,12.85605813,-157.5710623,1
0.261173216,-1.74755331,-9.151086842,0.239318556,0
-0.092430951,-0.88165488,-1.427546223,5.515472676,0
-24.60155184,-0.585541934,-2.839764079,240.151885,0
-32.00285159,-2.415571467,-9.507174493,331.0133213,1
-31.05384476,11.46574801,33.46728936,316.2517428,1
-28.328988,16.686156,49.244792,293.0969072,1
30.6819362,-3.438080226,-11.70945285,-291.441219,1
-20.92178814,9.14233484,26.24114325,227.2035464,0
-15.01649342,-1.63398695,-5.718723517,142.5041337,1
-26.82236414,-15.97217476,-46.55613843,290.2319898,1
-8.217528128,-31.67273302,-92.89474785,90.36657916,1
7.377287194,-3.442632203,-14.48060178,-68.08567489,0
-6.211096722,-12.77010472,-35.10860654,66.21509456,1
-21.4336088,-5.252703537,-16.45932104,232.3264995,0
-17.83614895,15.30661469,46.47533858,188.1758521,0
3.809913729,6.96658139,16.34528688,-29.53678721,0
-12.72554996,22.74753653,63.03388676,129.7679491,0
-24.95751976,5.884835944,15.64719418,237.0610346,0
-3.591827002,13.06522401,42.90006645,45.71110064,1
-22.76042263,7.360219303,20.6092865,232.3389609,0
2.794256488,-1.277136236,-6.625619344,-10.86193072,0
-2.067490934,4.658923888,15.71620249,24.6071151,0
-5.41149355,-22.42292622,-66.20554801,55.77178324,0
4.80326635,-17.26551911,-55.26622129,-38.73909188,1
27.25898038,24.11548806,70.80575595,-254.3938791,1
-3.397938981,-22.25714985,-66.21600018,39.87640936,0
-3.933959457,-2.248267026,-9.846641747,33.8325665,0
-0.908090993,-2.665307602,-11.58421952,10.23338483,0
17.98611428,-23.24972452,-75.91598168,-175.1832485,1
-6.540718682,12.21528815,40.72277198,66.83669581,1
-15.03156627,18.80310441,54.73119554,166.2725813,0
1.06304513,-0.973482227,-2.425244375,-12.73715718,0
-2.504909922,-13.69900958,-37.87249485,29.74871368,1
-3.598713938,-2.503329369,-7.375107759,40.6049679,0
9.750332901,-30.3796987,-89.09371511,-94.69371675,1
-12.85468783,20.1169162,62.73506764,124.9266566,0
3.389443891,-0.225384287,-1.242283003,-10.53972622,0
0.970666647,28.19128461,83.89870612,-3.772442033,1
-14.06110118,-17.5792361,-55.30192879,140.0895431,0
30.33515065,21.39691899,59.30587956,-285.0057199,1
-2.710278463,-20.42322382,-67.45144204,29.88258636,0
-0.515399155,-1.434106026,0.602702115,2.827356213,0
2.368376016,7.013360628,18.82982201,-14.51243936,0
-19.39715819,-11.22564527,-37.76490577,200.9834191,0
-23.81181298,6.055124586,19.32510954,235.0214007,0
24.01861293,-26.97710081,-80.35254885,-248.2628749,1
5.739102351,-6.051310123,-15.99262616,-63.01348707,0
-1.542046365,-2.05164513,-10.77388651,19.89726767,0
3.144864999,-0.65902856,-3.923476155,-13.083753,0
-2.967442952,-0.084416789,-0.6688334,51.81341393,0
21.08969129,-30.15280861,-89.72272126,-217.6012201,1
21.79846231,19.01027265,56.82562401,-210.9847918,1
2.556611879,-0.006899751,-1.769951937,-10.71660949,0
2.564864154,-1.054519798,-3.758591156,-13.71619225,0
7.156331844,1.093069431,3.07394251,-71.65204902,0
0.628113257,-20.12309475,-57.75307634,-1.339682874,1
-11.59225461,22.83077035,63.89091368,119.1625047,0
-14.62699765,6.695597976,16.12873655,136.0509975,1
-16.60277092,-15.57996885,-49.29339955,165.7045353,0
6.667417115,2.653415556,6.31416362,-64.57418015,0
-22.54466426,-8.620407852,-26.33710541,218.7733982,0
-23.10268411,-20.57935298,-67.4321798,240.3342222,1
13.95528304,6.812990228,16.64890412,-150.5977218,1
-21.33533069,-8.677951101,-29.44894489,218.4798557,0
-2.705474555,23.26796704,74.49797104,33.42489064,0
-10.060556,-31.48927021,-91.03336328,100.2694221,1
3.019300888,16.12291899,45.90765223,-25.42753056,1
11.61292048,10.76729457,32.61596431,-112.1580406,1
-0.055996057,1.477441612,-0.012814892,4.926543068,0
-0.701025734,-4.645188513,-11.46681414,17.54194256,0
-22.87860212,24.81915566,75.04612358,227.4547197,1
-9.283893265,-20.84866461,-62.41893508,96.38181427,0
3.081887313,13.90514301,45.07231128,-27.08464262,1
-0.062516563,25.59290456,74.56513389,5.723838913,0
18.77994669,-26.1168514,-74.20606922,-179.1130872,1
1.346931837,-0.867423784,-8.484338547,-6.9621169,0
0.677153197,14.4178635,45.28001496,-2.651153675,1
-9.994661873,23.13863311,66.3742061,108.6638241,0
-4.286326118,-1.340704046,-6.743697132,45.29336372,0
13.84777465,7.631799577,24.1715029,-136.9743688,1
-28.07555636,-16.4680322,-49.208658,286.2666806,1
3.808934005,-16.5847302,-55.48370406,-34.5245122,1
-8.575434729,-31.93701388,-92.36043238,93.78812555,1
-1.252824163,5.515426716,16.42017812,23.77813384,0
-3.741576737,2.449465083,7.308015907,50.61951086,0
-27.45416226,19.57789396,54.1451877,282.9050766,1
2.165109534,-10.03273311,-28.0922534,-19.42597062,0
15.95900276,2.893703549,8.326850831,-161.645068,1
14.95432769,-6.026389711,-18.49229658,-158.9513428,1
-6.45471915,12.34965849,39.37755278,69.20132783,1
-2.718464029,3.436690622,11.5037102,43.86756824,0
-2.49543953,15.55364238,45.22472126,26.93710282,1
5.278879352,3.803452876,10.25725666,-55.75255854,0
-1.028388117,-4.462100307,-11.13824783,19.6219212,0
-3.795180262,-0.103724981,-0.396505699,50.85200613,0
